sample,region,mod_type,slope,intercept,r_squared,p_value,std_err,n
MR01_1,utr5,ai,2.109903609626223,251.30750166644646,0.0001336815179341369,0.8689890924921002,12.77564445040424,206
MR01_1,utr5,m6a,9.412467907383395,105.54524908161193,0.01001543948565799,0.15236349404460994,6.55190557593185,206
MR01_1,utr5,either,6.40996031697255,111.31968895571646,0.007226717511292723,0.2244040248943961,5.26010917654977,206
MR01_1,utr3,ai,134.88750490947248,1924.8595524964746,0.0035234063781836547,0.3967080150584992,158.82132706091167,206
MR01_1,utr3,m6a,54.98499823214096,1694.9283825621585,0.005079136555209476,0.3086970202587372,53.88010782385263,206
MR01_1,utr3,either,50.668500404587135,1458.3531707444874,0.006003923731000313,0.2682866583671587,45.64547375496724,206
MR01_1,exon,ai,-31.68229957664376,886.0245047992134,0.0021558321963065217,0.507515142675647,47.72275391134149,206
MR01_1,exon,m6a,10.359492387812132,496.02917917857485,0.001692496223525016,0.5571196597622279,17.61536739607414,206
MR01_1,exon,either,5.506437028303839,532.5730334984241,0.00052493440646098,0.7437563358288907,16.82244262159183,206
MR01_1,intron,ai,-2.7493263246910917,48.42142453003814,0.006036492100125508,0.2669885313712816,2.4700406948643145,206
MR01_1,intron,m6a,-0.418374662991051,37.10086754890753,0.000377797097118396,0.7815481206879243,1.5067421254033886,206
MR01_1,intron,either,-0.7844893768713724,50.50534739801478,0.0024308480617079775,0.4815807415559086,1.1126653955697605,206
MR01_1,total,ai,61.98471313193636,522.0795893446066,0.006624168089462786,0.2448400219408462,53.144782579695864,206
MR01_1,total,m6a,11.423842020782564,745.1952753396455,0.0011641385834314484,0.6263514953545939,23.428356639986482,206
MR01_1,total,either,16.344410691716323,540.635884560719,0.003412256400424903,0.40427145997899183,19.556499673611068,206
MR01_2,utr5,ai,6.551032340879154,73.39336834685156,0.007239225403070983,0.22400195585707053,5.371194939799356,206
MR01_2,utr5,m6a,8.639403579146965,17.935605381484834,0.04522384136879229,0.0021489353107797776,2.7793019791683657,206
MR01_2,utr5,either,5.549434138631263,20.562260323526502,0.035181488621114324,0.006939808377201979,2.034695036582013,206
MR01_2,utr3,ai,70.21028944977904,357.2337170946216,0.016209337556362766,0.06820713637031475,38.29608642878868,206
MR01_2,utr3,m6a,24.749038523124252,343.1024340190349,0.017464489417801352,0.05828769507959644,12.996889573511398,206
MR01_2,utr3,either,22.588527042473636,236.02289446127986,0.02115487286492804,0.03698206630987124,10.75782834582145,206
MR01_2,exon,ai,-5.912423776159821,286.1375532786443,0.0012618000688178596,0.6122307425528434,11.64611376748976,206
MR01_2,exon,m6a,8.377187452051688,120.17345425279808,0.00759528077239745,0.21290729284143048,6.704334026315754,206
MR01_2,exon,either,4.400054047640958,144.33077901909667,0.0030503258609821107,0.43041913358502737,5.569374562830486,206
MR01_2,intron,ai,-0.23859992336354005,13.957436540239211,0.0002886292577906795,0.8084910869442431,0.9831558229125706,206
MR01_2,intron,m6a,0.3421352613142477,5.574181902439802,0.002348824930740795,0.48907994137783106,0.4936814255822234,206
MR01_2,intron,either,0.16851704583528052,7.749755287496794,0.0009530507159608743,0.659576102869447,0.38200029340466135,206
MR01_2,total,ai,5.793332956635369,288.1458127475429,0.0009535097944776373,0.6594992544004752,13.129363591128094,206
MR01_2,total,m6a,8.558997901100978,190.55132015646555,0.008067276728685317,0.19918278949636162,6.644854375471102,206
MR01_2,total,either,6.083850290501366,189.3412385847222,0.006735653594730626,0.24089502554394457,5.1725653490953665,206
